Name,Language,URL
freeCodeCamp,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp
free-programming-books,none,https://github.com/EbookFoundation/free-programming-books
awesome,none,https://github.com/sindresorhus/awesome
996.ICU,none,https://github.com/996icu/996.ICU
coding-interview-university,none,https://github.com/jwasham/coding-interview-university
public-apis,Python,https://github.com/public-apis/public-apis
developer-roadmap,TypeScript,https://github.com/kamranahmedse/developer-roadmap
system-design-primer,Python,https://github.com/donnemartin/system-design-primer
build-your-own-x,none,https://github.com/codecrafters-io/build-your-own-x
react,JavaScript,https://github.com/facebook/react
vue,TypeScript,https://github.com/vuejs/vue
awesome-python,Python,https://github.com/vinta/awesome-python
tensorflow,C++,https://github.com/tensorflow/tensorflow
javascript-algorithms,JavaScript,https://github.com/trekhleb/javascript-algorithms
You-Dont-Know-JS,none,https://github.com/getify/You-Dont-Know-JS
Python,Python,https://github.com/TheAlgorithms/Python
CS-Notes,none,https://github.com/CyC2018/CS-Notes
bootstrap,JavaScript,https://github.com/twbs/bootstrap
ohmyzsh,Shell,https://github.com/ohmyzsh/ohmyzsh
linux,C,https://github.com/torvalds/linux
flutter,Dart,https://github.com/flutter/flutter
gitignore,none,https://github.com/github/gitignore
vscode,TypeScript,https://github.com/microsoft/vscode
computer-science,none,https://github.com/ossu/computer-science
Auto-GPT,Python,https://github.com/Significant-Gravitas/Auto-GPT
awesome-selfhosted,none,https://github.com/awesome-selfhosted/awesome-selfhosted
Python-100-Days,Python,https://github.com/jackfrued/Python-100-Days
the-art-of-command-line,none,https://github.com/jlevy/the-art-of-command-line
JavaGuide,Java,https://github.com/Snailclimb/JavaGuide
javascript,JavaScript,https://github.com/airbnb/javascript
youtube-dl,Python,https://github.com/ytdl-org/youtube-dl
fucking-algorithm,Markdown,https://github.com/labuladong/fucking-algorithm
30-seconds-of-code,JavaScript,https://github.com/30-seconds/30-seconds-of-code
project-based-learning,none,https://github.com/practical-tutorials/project-based-learning
go,Go,https://github.com/golang/go
react-native,C++,https://github.com/facebook/react-native
transformers,Python,https://github.com/huggingface/transformers
next.js,JavaScript,https://github.com/vercel/next.js
electron,C++,https://github.com/electron/electron
awesome-go,Go,https://github.com/avelino/awesome-go
the-book-of-secret-knowledge,none,https://github.com/trimstray/the-book-of-secret-knowledge
d3,Shell,https://github.com/d3/d3
free-programming-books-zh_CN,none,https://github.com/justjavac/free-programming-books-zh_CN
axios,JavaScript,https://github.com/axios/axios
kubernetes,Go,https://github.com/kubernetes/kubernetes
create-react-app,JavaScript,https://github.com/facebook/create-react-app
stable-diffusion-webui,Python,https://github.com/AUTOMATIC1111/stable-diffusion-webui
node,JavaScript,https://github.com/nodejs/node
PowerToys,C#,https://github.com/microsoft/PowerToys
tech-interview-handbook,TypeScript,https://github.com/yangshun/tech-interview-handbook
three.js,JavaScript,https://github.com/mrdoob/three.js
TypeScript,TypeScript,https://github.com/microsoft/TypeScript
nodebestpractices,Dockerfile,https://github.com/goldbergyoni/nodebestpractices
deno,Rust,https://github.com/denoland/deno
scrcpy,C,https://github.com/Genymobile/scrcpy
terminal,C++,https://github.com/microsoft/terminal
angular,TypeScript,https://github.com/angular/angular
material-ui,TypeScript,https://github.com/mui/material-ui
awesome-chatgpt-prompts,HTML,https://github.com/f/awesome-chatgpt-prompts
ant-design,TypeScript,https://github.com/ant-design/ant-design
clean-code-javascript,JavaScript,https://github.com/ryanmcdermott/clean-code-javascript
rust,Rust,https://github.com/rust-lang/rust
puppeteer,TypeScript,https://github.com/puppeteer/puppeteer
vue-element-admin,Vue,https://github.com/PanJiaChen/vue-element-admin
java-design-patterns,Java,https://github.com/iluwatar/java-design-patterns
storybook,TypeScript,https://github.com/storybookjs/storybook
thefuck,Python,https://github.com/nvbn/thefuck
animate.css,CSS,https://github.com/animate-css/animate.css
realworld,TypeScript,https://github.com/gothinkster/realworld
papers-we-love,Shell,https://github.com/papers-we-love/papers-we-love
models,Jupyter Notebook,https://github.com/tensorflow/models
Web-Dev-For-Beginners,JavaScript,https://github.com/microsoft/Web-Dev-For-Beginners
laravel,PHP,https://github.com/laravel/laravel
HelloGitHub,Python,https://github.com/521xueweihan/HelloGitHub
LeetCodeAnimation,Java,https://github.com/MisterBooo/LeetCodeAnimation
django,Python,https://github.com/django/django
every-programmer-should-know,none,https://github.com/mtdvio/every-programmer-should-know
free-for-dev,HTML,https://github.com/ripienaar/free-for-dev
FiraCode,Clojure,https://github.com/tonsky/FiraCode
svelte,JavaScript,https://github.com/sveltejs/svelte
Font-Awesome,JavaScript,https://github.com/FortAwesome/Font-Awesome
tailwindcss,HTML,https://github.com/tailwindlabs/tailwindcss
advanced-java,Java,https://github.com/doocs/advanced-java
frp,Go,https://github.com/fatedier/frp
bitcoin,C++,https://github.com/bitcoin/bitcoin
gin,Go,https://github.com/gin-gonic/gin
opencv,C++,https://github.com/opencv/opencv
pytorch,Python,https://github.com/pytorch/pytorch
nvm,Shell,https://github.com/nvm-sh/nvm
mall,Java,https://github.com/macrozheng/mall
awesome-vue,none,https://github.com/vuejs/awesome-vue
spring-boot,Java,https://github.com/spring-projects/spring-boot
neovim,Vim Script,https://github.com/neovim/neovim
hugo,Go,https://github.com/gohugoio/hugo
Awesome-Hacking,none,https://github.com/Hack-with-Github/Awesome-Hacking
json-server,JavaScript,https://github.com/typicode/json-server
iptv,JavaScript,https://github.com/iptv-org/iptv
tauri,Rust,https://github.com/tauri-apps/tauri
app-ideas,none,https://github.com/florinpop17/app-ideas
moby,Go,https://github.com/moby/moby
Front-End-Checklist,none,https://github.com/thedaviddias/Front-End-Checklist
GitHub-Chinese-Top-Charts,Java,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts
elasticsearch,Java,https://github.com/elastic/elasticsearch
netdata,C,https://github.com/netdata/netdata
reveal.js,JavaScript,https://github.com/hakimel/reveal.js
flask,Python,https://github.com/pallets/flask
swift,C++,https://github.com/apple/swift
godot,C++,https://github.com/godotengine/godot
webpack,JavaScript,https://github.com/webpack/webpack
awesome-mac,JavaScript,https://github.com/jaywcjlove/awesome-mac
node,Shell,https://github.com/base-org/node
core,Python,https://github.com/home-assistant/core
fastapi,Python,https://github.com/tiangolo/fastapi
code-server,TypeScript,https://github.com/coder/code-server
express,JavaScript,https://github.com/expressjs/express
Chart.js,JavaScript,https://github.com/chartjs/Chart.js
redis,C,https://github.com/redis/redis
langchain,Python,https://github.com/langchain-ai/langchain
protobuf,C++,https://github.com/protocolbuffers/protobuf
resume.github.com,JavaScript,https://github.com/resume/resume.github.com
mermaid,JavaScript,https://github.com/mermaid-js/mermaid
clash_for_windows_pkg,none,https://github.com/Fndroid/clash_for_windows_pkg
interviews,Java,https://github.com/kdn251/interviews
awesome-machine-learning,Python,https://github.com/josephmisiti/awesome-machine-learning
redux,TypeScript,https://github.com/reduxjs/redux
the-algorithm,Scala,https://github.com/twitter/the-algorithm
stable-diffusion,Jupyter Notebook,https://github.com/CompVis/stable-diffusion
atom,JavaScript,https://github.com/atom/atom
cs-video-courses,none,https://github.com/Developer-Y/cs-video-courses
nest,TypeScript,https://github.com/nestjs/nest
