Name,Total_releases,URL
freeCodeCamp,0,https://github.com/freeCodeCamp/freeCodeCamp
free-programming-books,0,https://github.com/EbookFoundation/free-programming-books
996.ICU,0,https://github.com/996icu/996.ICU
awesome,0,https://github.com/sindresorhus/awesome
coding-interview-university,0,https://github.com/jwasham/coding-interview-university
public-apis,0,https://github.com/public-apis/public-apis
developer-roadmap,1,https://github.com/kamranahmedse/developer-roadmap
system-design-primer,0,https://github.com/donnemartin/system-design-primer
build-your-own-x,0,https://github.com/codecrafters-io/build-your-own-x
react,99,https://github.com/facebook/react
vue,245,https://github.com/vuejs/vue
awesome-python,0,https://github.com/vinta/awesome-python
tensorflow,194,https://github.com/tensorflow/tensorflow
javascript-algorithms,0,https://github.com/trekhleb/javascript-algorithms
You-Dont-Know-JS,0,https://github.com/getify/You-Dont-Know-JS
Python,0,https://github.com/TheAlgorithms/Python
CS-Notes,0,https://github.com/CyC2018/CS-Notes
bootstrap,87,https://github.com/twbs/bootstrap
ohmyzsh,0,https://github.com/ohmyzsh/ohmyzsh
linux,0,https://github.com/torvalds/linux
flutter,2,https://github.com/flutter/flutter
gitignore,0,https://github.com/github/gitignore
vscode,109,https://github.com/microsoft/vscode
computer-science,0,https://github.com/ossu/computer-science
Auto-GPT,18,https://github.com/Significant-Gravitas/Auto-GPT
awesome-selfhosted,1,https://github.com/awesome-selfhosted/awesome-selfhosted
Python-100-Days,0,https://github.com/jackfrued/Python-100-Days
the-art-of-command-line,0,https://github.com/jlevy/the-art-of-command-line
JavaGuide,0,https://github.com/Snailclimb/JavaGuide
javascript,0,https://github.com/airbnb/javascript
youtube-dl,341,https://github.com/ytdl-org/youtube-dl
fucking-algorithm,1,https://github.com/labuladong/fucking-algorithm
30-seconds-of-code,5,https://github.com/30-seconds/30-seconds-of-code
project-based-learning,0,https://github.com/practical-tutorials/project-based-learning
go,0,https://github.com/golang/go
react-native,274,https://github.com/facebook/react-native
transformers,125,https://github.com/huggingface/transformers
next.js,1980,https://github.com/vercel/next.js
electron,1265,https://github.com/electron/electron
awesome-go,0,https://github.com/avelino/awesome-go
