Name,Update_age,URL
freeCodeCamp,-1,https://github.com/freeCodeCamp/freeCodeCamp
free-programming-books,-1,https://github.com/EbookFoundation/free-programming-books
996.ICU,-1,https://github.com/996icu/996.ICU
awesome,-1,https://github.com/sindresorhus/awesome
coding-interview-university,-1,https://github.com/jwasham/coding-interview-university
public-apis,-1,https://github.com/public-apis/public-apis
developer-roadmap,-1,https://github.com/kamranahmedse/developer-roadmap
system-design-primer,-1,https://github.com/donnemartin/system-design-primer
build-your-own-x,-1,https://github.com/codecrafters-io/build-your-own-x
react,-1,https://github.com/facebook/react
vue,-1,https://github.com/vuejs/vue
awesome-python,-1,https://github.com/vinta/awesome-python
tensorflow,-1,https://github.com/tensorflow/tensorflow
javascript-algorithms,-1,https://github.com/trekhleb/javascript-algorithms
You-Dont-Know-JS,-1,https://github.com/getify/You-Dont-Know-JS
Python,-1,https://github.com/TheAlgorithms/Python
CS-Notes,-1,https://github.com/CyC2018/CS-Notes
bootstrap,-1,https://github.com/twbs/bootstrap
ohmyzsh,-1,https://github.com/ohmyzsh/ohmyzsh
linux,-1,https://github.com/torvalds/linux
flutter,-1,https://github.com/flutter/flutter
gitignore,-1,https://github.com/github/gitignore
vscode,-1,https://github.com/microsoft/vscode
computer-science,-1,https://github.com/ossu/computer-science
Auto-GPT,-1,https://github.com/Significant-Gravitas/Auto-GPT
awesome-selfhosted,-1,https://github.com/awesome-selfhosted/awesome-selfhosted
Python-100-Days,-1,https://github.com/jackfrued/Python-100-Days
the-art-of-command-line,-1,https://github.com/jlevy/the-art-of-command-line
JavaGuide,-1,https://github.com/Snailclimb/JavaGuide
javascript,-1,https://github.com/airbnb/javascript
youtube-dl,-1,https://github.com/ytdl-org/youtube-dl
fucking-algorithm,-1,https://github.com/labuladong/fucking-algorithm
30-seconds-of-code,-1,https://github.com/30-seconds/30-seconds-of-code
project-based-learning,-1,https://github.com/practical-tutorials/project-based-learning
go,-1,https://github.com/golang/go
react-native,-1,https://github.com/facebook/react-native
transformers,-1,https://github.com/huggingface/transformers
next.js,-1,https://github.com/vercel/next.js
electron,-1,https://github.com/electron/electron
awesome-go,-1,https://github.com/avelino/awesome-go
the-book-of-secret-knowledge,-1,https://github.com/trimstray/the-book-of-secret-knowledge
d3,-1,https://github.com/d3/d3
free-programming-books-zh_CN,-1,https://github.com/justjavac/free-programming-books-zh_CN
axios,-1,https://github.com/axios/axios
kubernetes,-1,https://github.com/kubernetes/kubernetes
create-react-app,0,https://github.com/facebook/create-react-app
stable-diffusion-webui,-1,https://github.com/AUTOMATIC1111/stable-diffusion-webui
node,-1,https://github.com/nodejs/node
PowerToys,-1,https://github.com/microsoft/PowerToys
tech-interview-handbook,-1,https://github.com/yangshun/tech-interview-handbook
